name,Full Name,EIC_Code,TSO,Maximum Current Imax (A) primary Min,Maximum Current Imax (A) primary Max,Maximum Current Imax (A) primary Fixed,Voltage_level(kV) Primary,Voltage_level(kV) Secondary,r_dlr,x_dlr,b_dlr,g_dlr,Taps used for RAO,Theta θ (°),Symmetrical/Asymmetrical,Phase Regulation δu (%),Angle Regulation δu (%),Comment,geometry,bus0,s_nom_dlr,bus1,
63,TR Duernrohr DURHU41,14T-38220-DR0410,APG,,,1556,220,400,0.000641505024538444,0.0461147464360832,-5486.294176,1954.236416,,60,ASYM,,1.253,,POINT (15.885238377926218 48.32893727438369),59531071,342.32,59531071T,
64,TR Duernrohr DURHU42,14T-38220-DR042Z,APG,,,1556,220,400,0.000641505024538444,0.0461147464360832,-5486.294176,1954.236416,,60,ASYM,,1.253,,POINT (15.885238377926218 48.32893727438369),59531071,342.32,59531071T,
86,TR Zaya ZYRHU41,,APG,,,1427,220,400,0.000565012422755941,0.0497196916608269,-3156.82367,829.649238,,60,ASYM,,1.253,"No EIC code yet, as only recently put into operation",POINT (16.800003975379468 48.60583472856317),96616299,313.94,96616299T,
114,TR RIMIERE 380/220 TFO 8,22T20211201Z---H,ELIA,424.352447854375,463.323591024675,,400,245.46,0.00549361191466818,0.419541166833545,-582.475360619513,98.4655295645639,,,,,,3-winding transformer (more info in extra sheet),POINT (5.4718802841380105 50.540253503031536),7578992,185.32943640987,7578992T,
115,TR RIMIERE 380/220 TFO 9,22T20211201AA--O,ELIA,424.352447854375,463.323591024675,,400,245.42,0.00607497665675759,0.443708811686758,-334.6597881061,93.5542994997023,,,,,,3-winding transformer (more info in extra sheet),POINT (5.4718802841380105 50.540253503031536),7578992,185.32943640987,7578992T,
111,TR BRUME 380/220 TFO 1,22T20211201W---W,ELIA,424.352447854375,463.323591024675,,400,245.42,0.00604700484558489,0.443133490237206,-370.8106112958,92.7759158667809,,,,,,3-winding transformer (more info in extra sheet),POINT (5.843362737369794 50.375498011383655),88799384,185.32943640987,88799384T,
112,TR LIXHE 380/220 TFO 11,22T20211201X---R,ELIA,424.352447854375,463.323591024675,,400,245.596,0.00538699096775989,0.421240627027787,-133.095493066726,40.0682241518139,,,,,,3-winding transformer (more info in extra sheet),POINT (5.668085597561913 50.75438286200539),23141556,185.32943640987,23141556T,
113,TR LIXHE 380/220 TFO 6,22T20211201Y---M,ELIA,424.352447854375,463.323591024675,,400,245.596,0.00538241533198164,0.42057871382945,-129.648365549502,39.4751699553023,,,,,,3-winding transformer (more info in extra sheet),POINT (5.668085597561913 50.75438286200539),23141556,185.32943640987,23141556T,
116,TR STEVIN 380/220 TFO 3,22T20211201AB--K,ELIA,848.70489570875,926.647182049349,,400,225,0.00098928698835797,0.107263866901509,-233.962197141775,150.153909379277,,,,,,3-winding transformer (more info in extra sheet),POINT (3.1839019958695 51.32594793322628),392090271,370.65887281974,392090271T,
117,TR STEVIN 380/220 TFO 4,22T20211201AC--G,ELIA,848.70489570875,926.647182049349,,400,225,0.000999258421044534,0.107551570792661,-820.488164255821,149.412591633637,,,,,,3-winding transformer (more info in extra sheet),POINT (3.1839019958695 51.32594793322628),392090271,370.65887281974,392090271T,
118,TR STEVIN 380/220 TFO 5,22T20211201AD--C,ELIA,848.70489570875,926.647182049349,,400,225,0.000989934483986967,0.107479698777842,-44.2914186840038,146.336122989233,,,,,,3-winding transformer (more info in extra sheet),POINT (3.1839019958695 51.32594793322628),392090271,370.65887281974,392090271T,
119,TR STEVIN 380/220 TFO 6,22T20211201AE--8,ELIA,848.70489570875,926.647182049349,,400,225,0.000979056557419806,0.107335911581829,-235.273402904375,148.078219691486,,,,,,3-winding transformer (more info in extra sheet),POINT (3.1839019958695 51.32594793322628),392090271,370.65887281974,392090271T,
109,TR AUBANGE 380/220 TFO 1,22T20211201T---A,ELIA,424.352447854375,463.323591024675,,400,245.42,0.00607497665675759,0.443708811686758,-334.6597881061,93.5542994997023,,,,,,3-winding transformer (more info in extra sheet),POINT (5.795846665169853 49.56639610066227),121085952,185.32943640987,121085952T,
110,TR AUBANGE 380/220 TFO 2,22T20211201V---0,ELIA,424.352447854375,463.323591024675,,400,245.46,0.0054398266110861,0.434507467134948,-333.989127208092,95.9265162857487,,,,,,3-winding transformer (more info in extra sheet),POINT (5.795846665169853 49.56639610066227),121085952,185.32943640987,121085952T,
T_3,,,CEPS,,,,,,0.00114107883817427,0.132192254495159,-173.52,144.6,,,,,,Added for coherence. Not in the data.,POINT (15.11240582700131 50.65776476965347),28475691,182.71,28475691T,
T_4,,,CEPS,,,,,,0.00114107883817427,0.132192254495159,-173.52,144.6,,,,,,Added for coherence. Not in the data.,POINT (15.11240582700131 50.65776476965347),28475691,182.71,28475691TT,
T_5,,,CEPS,,,,,,0.00114107883817427,0.132192254495159,-173.52,144.6,,,,,,Added for coherence. Not in the data.,POINT (13.801430394996355 50.583087711058994),197827799,217.8,197827799T,
T_6,,,CEPS,,,,,,0.00114107883817427,0.132192254495159,-173.52,144.6,,,,,,Added for coherence. Not in the data.,POINT (13.801430394996355 50.583087711058994),197827799,217.8,197827799TT,
88,TR Hradec T402,27T-TR-HRAT402-B,CEPS,,,723,400,231,0.00114107883817427,0.132192254495159,-173.52,144.6,,,,1.48,,,POINT (13.3273324005706 50.34652938932505),28099187,289.2,28099187T,
T_7,,,CEPS,,,,,,0.00114107883817427,0.132192254495159,-173.52,144.6,,,,,,Added for coherence. Not in the data.,POINT (13.695452508577215 50.39602262665922),28349754,677.6,28349754T,
T_8,,,CEPS,,,,,,0.00114107883817427,0.132192254495159,-173.52,144.6,,,,,,Added for coherence. Not in the data.,POINT (13.695452508577215 50.39602262665922),28349754,677.6,28349754TT,
90,TR Sokolnice T401,27T-TR-SOKT401-H,CEPS,,,722,400,231,0.00166204986149584,0.14643351800554,-4508.168,187.72,,,,1.48,,,POINT (16.699080878148727 49.11225687192472),27849030,288.8,27849030T,
87,TR C. Stred T401,27T-TR-CSTT401-T,CEPS,,,722,400,231,0.00145429362880886,0.137950138504155,-398.544,190.608,,,,1.48,,,POINT (14.768623247695958 50.143021870609175),28468576,288.8,28468576T,
T_9,,,CEPS,,,,,,0.00114107883817427,0.132192254495159,-173.52,144.6,,,,,,Added for coherence. Not in the data.,POINT (13.335280425866396 49.58968984155671),28477054,281.93,28477054T,
T_10,,,CEPS,,,,,,0.00114107883817427,0.132192254495159,-173.52,144.6,,,,,,Added for coherence. Not in the data.,POINT (13.335280425866396 49.58968984155671),28477054,281.93,28477054TT,
89,TR Prosenice T401,27T-TR-PRNT401X5,CEPS,,,722,400,231,0.00148891966759003,0.13095567867036,-4508.168,179.056,,,,1.48,,,POINT (17.498345120546542 49.50326351755285),28625556,288.8,28625556T,
T_11,,,CEPS,,,,,,0.00114107883817427,0.132192254495159,-173.52,144.6,,,,,,Added for coherence. Not in the data.,POINT (12.675255871288725 50.16071099308343),149306820,281.93,149306820T,
T_12,,,CEPS,,,,,,0.00114107883817427,0.132192254495159,-173.52,144.6,,,,,,Added for coherence. Not in the data.,POINT (12.675255871288725 50.16071099308343),149306820,281.93,149306820TT,
18,TR Vierraden 220/400 402,11T0-0000-0026-2,50HERTZ,650,650,,400,231,0.00283653846153846,0.257776923076923,-147.8672,199.888,,,,1.231,0,,POINT (14.268638974985045 53.09783446837573),170123812,260,170123812T,
19,TR Vierraden 220/400 404,11T0-0000-0028-X,50HERTZ,650,650,,400,231,0.00283653846153846,0.257776923076923,-147.8672,199.888,,,,1.231,0,,POINT (14.268638974985045 53.09783446837573),170123812,260,170123812T,
4,TR Lubmin 220/400 405,11T0-0000-0003-J,50HERTZ,650,650,,400,231,0.00283653846153846,0.257776923076923,-142.1498,195,,,,1.231,0,,POINT (13.685367373727471 54.13880850286776),460134233,260,460134233T,
24,TR Wustermark 220/400 401,11TD8T401WU12-0Y,50HERTZ,577,577,,400,231,0.00401819757365685,0.271135181975737,-154.825256,178.87,,,,1.231,0,,POINT (12.942934968142938 52.56249764066212),27149550,230.8,27149550T,
25,TR Wustermark 220/400 402,11TD8T402WU12--S,50HERTZ,577,577,,400,231,0.00397362416555823,0.273801323288594,-173.1,230.8,,,,1.231,0,,POINT (12.942934968142938 52.56249764066212),27149550,230.8,27149550T,
22,TR Wolmirstedt 220/400 403,11TD8T403WOL12-P,50HERTZ,1215,1215,,380,231,0.000761962798513736,0.0494566821337713,-159808.6827,1268.2899,,,,1.273,0,,POINT (11.639147591424328 52.26896991806889),26472665,461.7,26472665T,
23,TR Wolmirstedt 220/400 404,11TD8T404WOL12-H,50HERTZ,577,577,,400,231,0.00397362416555823,0.273801323288594,-173.1,230.8,,,,1.231,0,,POINT (11.639147591424328 52.26896991806889),26472665,230.8,26472665T,
5,TR Marzahn 220/400 401,11TD8T401MZA12-Q,50HERTZ,577,577,,400,231,0.00219200031752901,0.175168261273484,-259.774632,125.48596,,,,1.231,0,,POINT (13.524113150563432 52.5357936785092),22973070,230.8,22973070T,
6,TR Marzahn 220/400 402,11TD8T402MZA12-I,50HERTZ,577,577,,400,231,0.00219200031752901,0.175168261273484,-259.774632,125.48596,,,,1.231,0,,POINT (13.524113150563432 52.5357936785092),22973070,230.8,22973070T,
20,TR Vieselbach 220/400 402,11TD8T402VIB12-B,50HERTZ,577,577,,400,231,0.00397362416555823,0.273801323288594,-173.1,230.8,,,,1.231,0,,POINT (11.123246229477049 50.99837544912323),143882655,230.8,143882655T,
21,TR Vieselbach 220/400 403,11TD8T403VIB12-B,50HERTZ,577,577,,400,231,0.00397362416555823,0.273801323288594,-173.1,230.8,,,,1.231,0,,POINT (11.123246229477049 50.99837544912323),143882655,230.8,143882655T,
440,TR Brunsbuettel T421,11TD2T0000002013,TENNETGMBH,,,812,380,220,0.00136116152450091,0.149102281565984,-676.98064,154.28,,,,1.111,,,POINT (9.20168360386404 53.89581463975601),30622610,308.56,30622610T,
1,TR Güstrow 220/400 403,11TD8T403GUE12-P,50HERTZ,1215,1215,,380,231,0.00078250351580358,0.0498043470347052,-220418.8119,1472.96151,,,,1.273,0,,POINT (12.187783572738446 53.81650473574688),32062544,461.7,32062544T,
T_13,,,50HERTZ,,,,,,0.00418276227953498,0.288211919251152,-164.445,219.26,,,,,,Added for coherence. Not in the data.,POINT (12.213541114842796 54.111982000414535),32318130,580.8,32318130T,
T_14,,,50HERTZ,,,,,,0.00418276227953498,0.288211919251152,-164.445,219.26,,,,,,Added for coherence. Not in the data.,POINT (12.213541114842796 54.111982000414535),32318130,580.8,32318130TT,
15,TR Thyrow 220/400 401,11TD8T401THY12-2,50HERTZ,577,577,,400,231,0.00397362416555823,0.273801323288594,-173.1,230.8,,,,1.231,0,,POINT (13.30634069585986 52.23082066092722),29331499,230.8,29331499T,
7,TR Neuenhagen 220/400 401,11TD8T401NHG12-N,50HERTZ,958,958,,380,231,0.00114997080162728,0.0657858787476533,-243744.8022,1404.247896,,-60,Asymmetrical,,1.182,,POINT (13.710163845494778 52.539128262482336),137197826,364.04,137197826T,
8,TR Neuenhagen 220/400 402,11TD8T402NHG12-F,50HERTZ,958,958,,380,231,0.00114997080162728,0.0657858787476533,-173703.5062,1137.44298,,-60,Asymmetrical,,1.182,,POINT (13.710163845494778 52.539128262482336),137197826,364.04,137197826T,
2,TR Hamburg/Nord 220/400 405,11TD8T405NOR12-5,50HERTZ,650,650,,400,231,0.00355939918070096,0.24202510989594,-113767.42,535.002,,,,1.231,0,,POINT (9.984058791561033 53.74147911235296),22720647,260,22720647T,
3,TR Hamburg/Nord 220/400 406,11TD8T406NOR12-Y,50HERTZ,650,650,,400,231,0.00355939918070096,0.24202510989594,-147.862,199.888,,,,1.231,0,,POINT (9.984058791561033 53.74147911235296),22720647,260,22720647T,
T_15,,,50HERTZ,,,,,,0.00418276227953498,0.288211919251152,-164.445,219.26,,,,,,Added for coherence. Not in the data.,POINT (12.045507458183804 50.78094886931945),156673637,258.94,156673637T,
T_16,,,50HERTZ,,,,,,0.00418276227953498,0.288211919251152,-164.445,219.26,,,,,,Added for coherence. Not in the data.,POINT (12.045507458183804 50.78094886931945),156673637,258.94,156673637TT,
0,TR Eula 220/400 401,11TD8T401EU12--E,50HERTZ,866,866,,400,231,0.00192723649281908,0.148563327556093,-143849.528,887.40752,,,,1.385,0,,POINT (12.517063548402785 51.156251437142096),32843531,346.4,32843531T,
11,TR Röhrsdorf 220/400 402,11TD8T402ROE12-T,50HERTZ,1215,1215,,380,231,0.000720881363934048,0.0487691580333574,-220418.8119,1442.90484,,,,1.273,0,,POINT (12.815082479900903 50.85868947954853),23117075,461.7,23117075T,
12,TR Röhrsdorf 220/400 403,11TD8T403ROE12-T,50HERTZ,1215,1215,,380,231,0.000720881363934048,0.0487691580333574,-220418.8119,1442.90484,,,,1.273,0,,POINT (12.815082479900903 50.85868947954853),23117075,461.7,23117075T,
T_17,,,Amprion GmbH,,,,,,0.000430093555093555,0.0322245322245322,-5310.24,1462.24,,,,,,Added for coherence. Not in the data.,POINT (10.362499738474432 47.73865994398629),57727004,434.39,57727004T,
T_18,,,Amprion GmbH,,,,,,0.000430093555093555,0.0322245322245322,-5310.24,1462.24,,,,,,Added for coherence. Not in the data.,POINT (10.362499738474432 47.73865994398629),57727004,434.39,57727004TT,
T_19,,,Amprion GmbH,,,,,,0.000426304953372896,0.0388664163739857,-1486.26,1775.255,,,,,,Added for coherence. Not in the data.,POINT (6.7097559468 51.090932472),27919734,658.24,27919734T,
T_20,,,Amprion GmbH,,,,,,0.000426304953372896,0.0388664163739857,-1486.26,1775.255,,,,,,Added for coherence. Not in the data.,POINT (6.7097559468 51.090932472),27919734,658.24,27919734TT,
T_21,,,Amprion GmbH,,,,,,0.000426304953372896,0.0388664163739857,-1486.26,1775.255,,,,,,Added for coherence. Not in the data.,POINT (7.011600422827162 52.17763913797465),979801144,629.2,979801144T,
T_22,,,Amprion GmbH,,,,,,0.000426304953372896,0.0388664163739857,-1486.26,1775.255,,,,,,Added for coherence. Not in the data.,POINT (7.011600422827162 52.17763913797465),979801144,629.2,979801144TT,
61,TR Westerkappeln,11T0-0000-0914-4,Amprion GmbH,,2008,,230,400,0.000495842716092153,0.035687684046423,-12931.52,2124.464,,,,1.231,,,POINT (7.890386064217834 52.27794041517119),114319248,461.84,114319248T,
41,TR Kusenhorst,11T0-0000-0683-V,Amprion GmbH,,2008,,230,400,0.000446041919279404,0.0351225532652001,-7943.648,2632.488,,,,1.231,,,POINT (7.060221722122223 51.69639747736863),29077623,461.84,29077623T,
487,TR / 380-220kV / Kuehmoos Trafo 401,12T-0000000591-H,TRANSNETBW,,,953,380,220,0.00110758270282211,0.0676036891809797,-3854.473304,477.554018,-3,3,-120,Asymmetrical,1.385,,,POINT (7.958075914315617 47.59547794524703),88916034,362.14,88916034T
30,TR Dauersberg,11T0-0000-1251-Q,Amprion GmbH,,1924,,400,231,0.000301455301455302,0.0309329521829522,-2308.8,692.64,,60,,,1.389,,POINT (7.86378483513833 50.76810526070069),152403632,769.6,152403632T,
31,TR Dauersberg,11T0-0000-0589-I,Amprion GmbH,,1924,,400,231,0.000430093555093555,0.0322245322245322,-5310.24,1462.24,,60,,,1.385,,POINT (7.86378483513833 50.76810526070069),152403632,769.6,152403632T,
40,TR Hoheneck,11T0-0000-0650-F,Amprion GmbH,,1271,,400,231,0.00109756097560976,0.0505114083398899,-3863.84,864.28,,60,,,1.385,,POINT (9.190792677545456 48.914415086962464),25802269,508.4,25802269T,
50,TR Rommerskirchen,11T0-0000-0833-4,Amprion GmbH,,1924,,400,231,0.000430093555093555,0.0322245322245322,-5310.24,1462.24,,60,,,1.385,,POINT (6.702194784514007 51.008859862237074),24839976,769.6,24839976T,
32,TR Eiberg,11T0-0000-0595-Q,Amprion GmbH,,1924,,240,400,0.00051975051975052,0.0374177061677062,-2955.264,2447.328,,,,1.231,,,POINT (7.1257288028617465 51.44906599034116),113546939,461.76,113546939T,
38,TR Hanekenfaehr,11T0-0000-1278-Y,Amprion GmbH,,2008,,230,400,0.000495842716092153,0.0356898492984583,-5080.24,2401.568,,,,1.231,,,POINT (7.308241793856247 52.47679095339899),61918154,461.84,61918154T,
52,TR Tiengen,11T0-0000-0859-F,Amprion GmbH,,1271,,400,231,0.000877261998426436,0.0486644374508261,-508.4,813.44,,-60,,,1.385,,POINT (8.258827663264354 47.634208886686295),31367940,508.4,31367940T,
T_23,,,Amprion GmbH,,,,,,0.000430093555093555,0.0322245322245322,-5310.24,1462.24,,,,,,Added for coherence. Not in the data.,POINT (7.725695780282513 52.27718649503957),29472852,179.08,29472852T,
T_24,,,Amprion GmbH,,,,,,0.000430093555093555,0.0322245322245322,-5310.24,1462.24,,,,,,Added for coherence. Not in the data.,POINT (7.725695780282513 52.27718649503957),29472852,179.08,29472852TT,
48,TR St. Peter,11T0-0000-0858-I,Amprion GmbH,,1924,,400,231,0.000430093555093555,0.0322245322245322,-5310.24,1462.24,,60,,,1.385,,POINT (6.801901926183832 51.124931543129016),49577401,769.6,49577401T,
49,TR St. Peter,11T0-0000-1348-4,Amprion GmbH,,1924,,400,231,0.000430093555093555,0.0322245322245322,-5310.24,1462.24,,60,,,1.385,,POINT (6.801901926183832 51.124931543129016),49577401,769.6,49577401T,
T_25,,,Amprion GmbH,,,,,,0.000430093555093555,0.0322245322245322,-5310.24,1462.24,,,,,,Added for coherence. Not in the data.,POINT (7.240374772306893 49.35764976438098),89352550,312.18,89352550T,
T_26,,,Amprion GmbH,,,,,,0.000430093555093555,0.0322245322245322,-5310.24,1462.24,,,,,,Added for coherence. Not in the data.,POINT (7.240374772306893 49.35764976438098),89352550,312.18,89352550TT,
T_27,,,Amprion GmbH,,,,,,0.000430093555093555,0.0322245322245322,-5310.24,1462.24,,,,,,Added for coherence. Not in the data.,POINT (6.625829004351707 51.26061129810617),24799890,374.616,24799890T,
T_28,,,Amprion GmbH,,,,,,0.000430093555093555,0.0322245322245322,-5310.24,1462.24,,,,,,Added for coherence. Not in the data.,POINT (6.625829004351707 51.26061129810617),24799890,374.616,24799890TT,
46,TR Opladen,11T0-0000-0796-D,Amprion GmbH,,1924,,240,400,0.00051975051975052,0.0374133749133749,-18054.816,2816.736,,,,1.231,,,POINT (6.965533742474572 51.069936019280185),22761839,461.76,22761839T,
47,TR Opladen,11T0-0000-1674-Q,Amprion GmbH,,2008,,230,400,0.000381084358219297,0.0347436341590161,-1662.624,1985.912,,,,1.231,,,POINT (6.965533742474572 51.069936019280185),22761839,461.84,22761839T,
466,TR Oberbachern T421,11TD2T000000143S,TENNETGMBH,,,923,380,220,0.00181330900382049,0.140186462906997,-1276.6936,680.78634,,,,1.231,,,POINT (11.370408790512055 48.291489873770296),18629425,350.74,18629425T,
59,TR Walsum,11T0-0000-1352-I,Amprion GmbH,,2008,,230,400,0.000381084358219297,0.0347436341590161,-1662.624,1985.912,,,,1.231,,,POINT (6.71519747219922 51.52680805339456),24478889,461.84,24478889T,
62,TR Weissenthurm,11T0-0000-0904-8,Amprion GmbH,,1924,,400,231,0.000430093555093555,0.0322245322245322,-5310.24,1462.24,,60,,,1.385,,POINT (7.449489147076854 50.40253032636379),395847307,769.6,395847307T,
53,TR Uchtelfangen,11T0-0000-0862-W,Amprion GmbH,,1924,,400,231,0.000430093555093555,0.0322245322245322,-5310.24,1462.24,,-60,,,1.385,,POINT (6.9964592026998345 49.37540332206032),54359256,769.6,54359256T,
34,TR Ensdorf,11T0-0000-0606-H,Amprion GmbH,,2008,,230,400,0.000381084358219297,0.0347436341590161,-1662.624,1985.912,,,,1.231,,,POINT (6.773207879811451 49.29107421435737),82773910,461.84,82773910T,
35,TR Gersteinwerk,11T0-0000-0614-J,Amprion GmbH,,2008,,230,400,0.000508834228304175,0.0362419885674693,-2493.936,1385.52,,,,1.231,,,POINT (7.709038739054832 51.67646671921392),42507488,461.84,42507488T,
36,TR Gersteinwerk,11T0-0000-0615-G,Amprion GmbH,,2008,,230,400,0.000253334488134419,0.0341763381257578,-2493.936,738.944,,,,1.231,,,POINT (7.709038739054832 51.67646671921392),42507488,461.84,42507488T,
460,TR Grosskrotzenburg T422,11TD2T000000071R,TENNETGMBH,,,528,380,220,0.00609051036682616,0.294751794258373,-1914.50688,342.29184,,,,2,,,POINT (8.958708591309529 50.08260779176962),42410916,200.64,42410916T,
461,TR Grosskrotzenburg T423,11TD2T000000072P,TENNETGMBH,,,1019,380,220,0.0018284179536181,0.13290119312019,-2639.67874,751.59402,,,,1.385,,,POINT (8.958708591309529 50.08260779176962),42410916,387.22,42410916T,
462,TR Grosskrotzenburg T421,11TD2T000000070T,TENNETGMBH,,,1019,380,220,0.00183358297608595,0.132211662620732,-1890.40804,747.72182,,,,1.385,,,POINT (8.958708591309529 50.08260779176962),42410916,387.22,42410916T,
T_29,,,Amprion GmbH,,,,,,0.000430093555093555,0.0322245322245322,-5310.24,1462.24,,,,,,Added for coherence. Not in the data.,POINT (8.104639054942622 52.26510433428034),37764852,232.32,37764852T,
T_30,,,Amprion GmbH,,,,,,0.000430093555093555,0.0322245322245322,-5310.24,1462.24,,,,,,Added for coherence. Not in the data.,POINT (8.104639054942622 52.26510433428034),37764852,232.32,37764852TT,
27,TR Buerstadt,11T0-0000-0572-6,Amprion GmbH,,2008,,230,400,0.000534817252728218,0.036458513771003,-20782.8,2771.04,,,,1.231,,,POINT (8.419373160819045 49.63371907557318),149987048,461.84,149987048T,
28,TR Buerstadt,11T0-0000-0571-9,Amprion GmbH,,1924,,400,231,0.000430093555093555,0.0322245322245322,-5310.24,1462.24,,-60,,,1.385,,POINT (8.419373160819045 49.63371907557318),149987048,769.6,149987048T,
484,TR / 380-220kV / Daxlanden / Trafo 401,11TD400000023-T9,TRANSNETBW,,,1443,380,220,0.000450851661377977,0.0449338001969581,-1242.0065502,580.198554,,0,Symmetrical,1.389,,,POINT (8.31334022540613 49.009043472661205),152261133,548.34,152261133T,
485,TR / 380-220kV / Daxlanden / Trafo 402,11TD400000028-TQ,TRANSNETBW,,,1443,380,220,0.000626180836707153,0.044056607214502,-4157.2890606,881.127546,,0,Symmetrical,1.444,,,POINT (8.31334022540613 49.009043472661205),152261133,548.34,152261133T,
54,TR Urberach,11T0-0000-0874-M,Amprion GmbH,,1924,,400,231,0.000430093555093555,0.0322245322245322,-5310.24,1462.24,,-60,,,1.385,,POINT (8.772275034667391 49.97457434094864),23284340,769.6,23284340T,
55,TR Urberach,11T0-0000-0875-J,Amprion GmbH,,1924,,400,231,0.000430093555093555,0.0322245322245322,-5310.24,1462.24,,-60,,,1.385,,POINT (8.772275034667391 49.97457434094864),23284340,769.6,23284340T,
437,TR Bechterdissen T424,11TD2T000000246I,TENNETGMBH,,,693,380,220,0.00301511354142933,0.231772613351561,-164.85084,213.83208,,,,1.231,,,POINT (8.659610012459176 52.00034857382529),24264701,263.34,24264701T,
438,TR Bechterdissen T423,11TD2T000000245K,TENNETGMBH,,,693,380,220,0.00300751879699248,0.231772613351561,-132.19668,235.42596,,,,1.231,,,POINT (8.659610012459176 52.00034857382529),24264701,263.34,24264701T,
42,TR Niederrhein,11T0-0000-0754-Z,Amprion GmbH,,1924,,400,231,0.000430093555093555,0.0322245322245322,-5310.24,1462.24,,60,,,1.385,,POINT (6.680796263733606 51.64632880193464),24462426,769.6,24462426T,
