name,x,y,CORE-TSO_country,CORE-TSO_tso,OSM_type,OSM_name,OSM_country,OSM_voltage,OSM_operator,OSM_alt_name,Comments,CORE-TSO-name,geometry,transformer_dupplicate,v_nom,,,,
93077882,13.8997590884638,48.1043754343958,AT,APG,Polygon,Umspannwerk Hausruck,AT,220000,Verbund Austrian Power Grid AG,,,Hausruck,POINT (13.899759088463831 48.10437543439577),False,220,,,,
95837658,14.6951771552778,48.1642069771591,AT,APG,Polygon,Umspannwerk Wallsee,AT,220000,110000,Austrian Power Grid AG,,,Wallsee,POINT (14.695177155277756 48.16420697715911),False,220,,,
152245073,14.163206843507,47.8213913863045,AT,APG,Polygon,Umspannwerk Klaus,AT,220000,Austrian Power Grid AG,,,Klaus,POINT (14.163206843507028 47.8213913863045),False,220,,,,
81684898,16.2763014680181,47.2507508281387,AT,APG,Polygon,Umspannwerk Südburgenland/Rotenturm,AT,380000,110000,Austrian Power Grid AG,,,Suedburgenland,POINT (16.276301468018094 47.25075082813871),False,400,,,
105065132,13.0668430610187,47.8880497091321,AT,APG,Polygon,Umspannwerk Salzburg,AT,220000,Austrian Power Grid AG,,,Salzburg Elixhausen,POINT (13.066843061018709 47.8880497091321),False,400,,,,
107248400,16.6959647279992,48.0319429668924,AT,APG,Polygon,Umspannwerk Sarasdorf,AT,380000,110000,,,,Sarasdorf,POINT (16.695964727999243 48.0319429668924),False,400,,,
156973414,11.8978438077027,47.2334472645299,AT,APG,Polygon,Umspannwerk Zell am Ziller,AT,380000,220000,110000,Austrian Power Grid AG,,,"Zell am Ziller, TR Zell am Ziller ZZRHU41, TR Zell am Ziller ZZRHU42",POINT (11.897843807702728 47.23344726452986),False,400,,
603139216,13.8280175333186,46.5537863807711,AT,APG,Polygon,Villach Süd,AT,220000,110000,Austrian Power Grid AG,KNG-Kärnten Netz GmbH,,,Villach Süd,POINT (13.828017533318611 46.553786380771086),False,220,,
24253250,16.378280117632,48.3577552950349,AT,APG,Polygon,Umspannwerk Bisamberg,AT,380000,220000,110000,Austrian Power Grid AG,,,Bisamberg,POINT (16.378280117631984 48.35775529503493),False,400,,
59531071,15.8852383779262,48.3289372743837,AT,APG,Polygon,Umspannwerk Dürnrohr,AT,380000,220000,110000,Austrian Power Grid,Netz Niederösterreich,,Duplicated OSM name: 59531071 122592181 ,"Duernrohr, Durnrohr, TR Duernrohr DURHU41, TR Duernrohr DURHU42",POINT (15.885238377926218 48.32893727438369),False,400,
694695942,15.4911684496702,46.910086982142,AT,APG,Polygon,Umspannwerk Mellach,AT,380000,Austrian Power Grid AG,,,Dreibein Mellach,POINT (15.491168449670225 46.91008698214196),False,400,,,,
89451551,14.2078027082976,47.5745494422597,AT,APG,Polygon,Umspannwerk Weißenbach,AT,220000,110000,Verbund,Austrian Power Grid AG,,,Weissenbach,POINT (14.207802708297566 47.57454944225967),False,220,,
89985993,14.3304796035415,47.6784550152667,AT,APG,Polygon,Umspannwerk Pyhrn,AT,220000,Verbund Austrian Power Grid AG,,,Phyrn,POINT (14.33047960354146 47.67845501526672),False,220,,,,
96616299,16.8000039753795,48.6058347285632,AT,APG,Polygon,Umspannwerk Neusiedl an der Zaya,AT,380000,220000,110000,Netz NÖ,APG,Zaya,Matched using the alt_name.,"Zaya, TR Zaya ZYRHU41",POINT (16.800003975379468 48.60583472856317),False,400,
50729129,13.7107370034993,48.519308957328,AT,APG,Polygon,Umspannwerk Jochenstein,AT,220000,,,,Jochenstein,POINT (13.710737003499268 48.51930895732804),False,220,,,,
16584741,4.508677556016,51.1176661662095,BE,ELIA,Polygon,Lint,BE,380000,150000,Elia,,,LINT,POINT (4.508677556016 51.117666166209474),False,400,,,
87761208,4.33240742844889,50.4824868580582,BE,ELIA,Polygon,Gouy,BE,380000,150000,70000,Elia,,,GOUY,POINT (4.332407428448886 50.48248685805815),False,400,,
121085954,5.51422658319425,49.5513088353402,BE,ELIA,Polygon,Saint-Mard,BE,220000,Elia,,,"ST-MARD SNCB, ST-MARD",POINT (5.514226583194245 49.55130883534017),False,220,,,,
88373135,5.05539200118394,50.2605241041707,BE,ELIA,Polygon,Achêne,BE,380000,70000,Elia,,,"ACHENE SNCB, ACHENE",POINT (5.05539200118394 50.26052410417071),False,400,,,
1292967364,5.7982861,50.1499684,BE,ELIA,Point,,BE,220000,,,Y-junction at 0.3 km from the station,REPIQUAGE HOUFFALIZE 220kV,POINT (5.7982861 50.1499684),False,220,,,,
93056461,3.22668259225486,50.8980325470581,BE,ELIA,Polygon,Izegem,BE,380000,150000,70000,Elia,,,IZEGEM,POINT (3.22668259225486 50.8980325470581),False,400,,
23151789,4.24689593666668,51.1540966941086,BE,ELIA,Polygon,Mercator,BE,380000,Elia,,,MERCATOR,POINT (4.24689593666668 51.15409669410861),False,400,,,,
88799385,5.86136025533904,50.3846596831683,BE,ELIA,Polygon,Coo,BE,380000,Elia,,,CENTRALE COO,POINT (5.861360255339036 50.38465968316827),False,400,,,,
114082368,5.79543439589452,50.150034158585,BE,ELIA,Polygon,Mont-lez-Houffalize,BE,220000,70000,,,,HOUFFALIZE,POINT (5.795434395894523 50.15003415858498),False,220,,,
87763325,3.7754577211529,51.1320936737123,BE,ELIA,Polygon,Rodenhuize,BE,380000,150000,,,,RODENHUIZE,POINT (3.775457721152901 51.13209367371231),False,400,,,
87772591,5.28695032598032,50.5120401226993,BE,ELIA,Polygon,Poste Elia Gramme,BE,380000,150000,Elia,,,GRAMME,POINT (5.28695032598032 50.51204012269926),False,400,,,
94155586,5.55973459450458,50.5903344931123,BE,ELIA,Polygon,Sart-Tilman,BE,220000,70000,Elia,,,SART-TILMAN,POINT (5.559734594504583 50.59033449311225),False,220,,,
90113579,4.90389949061829,50.4886213227048,BE,ELIA,Polygon,Champion,BE,380000,70000,,,,CHAMPION (NAMUR),POINT (4.903899490618288 50.48862132270484),False,400,,,
7578992,5.47188028413801,50.5402535030315,BE,ELIA,MultiPolygon,Rimière,BE,380000,220000,70000,Elias,,,"RIMIERE, TR RIMIERE 380/220 TFO 8, TR RIMIERE 380/220 TFO 9",POINT (5.4718802841380105 50.540253503031536),False,400,,
88799384,5.84336273736979,50.3754980113837,BE,ELIA,Polygon,Brume,BE,380000,220000,Elia,,,"BRUME, BRUME SNCB, TR BRUME 380/220 TFO 1",POINT (5.843362737369794 50.375498011383655),False,400,,,
495688597,3.60457110445981,51.1147202914164,BE,ELIA,Polygon,Horta,BE,380000,Elia,,,HORTA,POINT (3.604571104459805 51.11472029141639),False,400,,,,
23141556,5.66808559756191,50.7543828620054,BE,ELIA,Polygon,380 kV Lixhe,BE,380000,220000,,,,"LIXHE, Lixhe, TR LIXHE 380/220 TFO 11, TR LIXHE 380/220 TFO 6",POINT (5.668085597561913 50.75438286200539),False,400,,,
161224164,5.58529480091167,49.5487255887827,BE,ELIA,Polygon,Latour,BE,220000,Elia,,,LATOUR,POINT (5.58529480091167 49.54872558878274),False,220,,,,
1356298440,5.5866527,49.5471708,BE,ELIA,Point,,BE,220000,,,Y-junction at 0.2 km from the station,REPIQUAGE LATOUR 220kV,POINT (5.5866527 49.5471708),False,220,,,,
392090271,3.1839019958695,51.3259479332263,BE,ELIA,Polygon,Stevin,BE,380000,220000,150000,Elia,,,"STEVIN, TR STEVIN 380/220 TFO 3, TR STEVIN 380/220 TFO 4, TR STEVIN 380/220 TFO 5, TR STEVIN 380/220 TFO 6",POINT (3.1839019958695 51.32594793322628),False,400,,
24552827,5.41501190309666,50.5845832927424,BE,ELIA,Polygon,Awirs,BE,220000,150000,,,,AWIRS,POINT (5.41501190309666 50.58458329274241),False,220,,,
1068913285,5.5438201,50.2104585,BE,ELIA,Point,,BE,220000,,,Y-junction at 0.6 km from the station,REPIQUAGE MARCOURT 220kV,POINT (5.5438201 50.2104585),False,220,,,,
23136868,4.25488406582015,51.3227162300168,BE,ELIA,Polygon,Doel 380,BE,380000,Elia,,,DOEL,POINT (4.254884065820145 51.32271623001677),False,400,,,,
23136911,4.2887904486857,51.253309925083,BE,ELIA,Polygon,Kallo,BE,380000,150000,Elia,,,KALLO,POINT (4.288790448685698 51.253309925083),False,400,,,
91752661,5.66036232740863,50.6139326775289,BE,ELIA,Polygon,220 kV Romsée,BE,220000,150000,,,,"ROMSEE SNCB, ROMSEE",POINT (5.660362327408626 50.61393267752886),False,220,,,
204940263,5.49638570603549,50.6027351141297,BE,ELIA,Polygon,La Troque,BE,220000,Elia,,,LA TROQUE,POINT (5.496385706035494 50.60273511412971),False,220,,,,
103041283,5.49266942915335,50.60421604031,BE,ELIA,Polygon,Le Val,BE,220000,Elia,,,LE VAL,POINT (5.4926694291533495 50.60421604030995),False,220,,,,
863806531,5.66734147482899,50.7530405781785,BE,ELIA,Polygon,Convertisseur ALEGrO Lixhe,BE,380000,Elia,,,ALEGRO CONVERTOR STATION,POINT (5.667341474828991 50.7530405781785),False,400,,,,
495688586,3.31554658621922,51.2272532747808,BE,ELIA,Polygon,Van Maerlant,BE,380000,Elia,,,MAERLANT,POINT (3.315546586219221 51.227253274780814),False,400,,,,
1020416515,3.7804502,51.1327222,BE,ELIA,Point,,BE,380000,,,Y-junction at 0.2 km from the station,AFTAKKING RODENHUIZE 380kV,POINT (3.7804502 51.1327222),False,400,,,,
250052256,4.2201958,50.7567046,BE,ELIA,Point,,BE,380000,,,Y-junction at 10.3 km from the station,AFTAKKING MEKINGEN 380kV,POINT (4.2201958 50.7567046),False,400,,,,
23136343,4.24817447471769,51.3695668471529,BE,ELIA,Polygon,Zandvliet,BE,380000,150000,Elia,,,"ZANDVLIET, Zandvliet, TR ZANDVLIET PST 1, TR ZANDVLIET PST 2",POINT (4.24817447471769 51.36956684715293),False,400,,,
1001478336,5.71695220905681,50.7430872247606,BE,ELIA,Polygon,Longue Vue,BE,220000,,,,"BERNEAU, POSTE DE TRANSITION LONGUE VUE 220kV",POINT (5.716952209056813 50.74308722476059),False,220,,,,
6710858402,2.99150000000001,51.5134999999999,BE,ELIA,Point,Norther Offshore Substation,BE,220000,33000,,,,"OFFSHORE WINDPARK, OFFSHORE SWITCHYARD",POINT (2.991500000000005 51.51349999999986),False,220,,,
104524889,5.2689480205063,50.5346952794509,BE,ELIA,Polygon,Tihange,BE,380000,Elia,,,"TIHANGE 3, TIHANGE 2, TIHANGE 1, TIHANGE BIS",POINT (5.268948020506301 50.53469527945089),False,400,,,,
121085952,5.79584666516985,49.5663961006623,BE,ELIA,Polygon,Aubange,BE,380000,220000,Elia,,"Manually corrected. In BE, but also in LU","AUBANGE, TR AUBANGE PST 1, TR AUBANGE 380/220 TFO 1, TR AUBANGE 380/220 TFO 2",POINT (5.795846665169853 49.56639610066227),False,400,,,
19783816,4.30726050146851,51.3011884469921,BE,ELIA,Polygon,Elia Lillo,BE,380000,Elia,,,LILLO,POINT (4.307260501468507 51.30118844699209),False,400,,,,
91142310,5.61961453835374,50.6445322878366,BE,ELIA,Polygon,220 kV Jupille,BE,220000,150000,,,,JUPILLE,POINT (5.619614538353743 50.64453228783661),False,220,,,
1068913125,5.6620236,49.9933909,BE,ELIA,Point,,BE,220000,,,Y-junction at 1.5 km from the station,REPIQUAGE SENONCHAMPS 220kV,POINT (5.6620236 49.9933909),False,220,,,,
98410713,4.56792181132732,50.4368304044,BE,ELIA,Polygon,380kV Tergnée,BE,380000,150000,,,,TERGNEE,POINT (4.567921811327316 50.43683040440003),False,400,,,
124703985,5.77421971542873,51.1210350202424,BE,ELIA,Polygon,Van Eyck,BE,380000,Elia,,,"VAN EYCK, Van Eyck, TR VAN EYCK PST 1, TR VAN EYCK PST 2",POINT (5.774219715428733 51.12103502024237),False,400,,,,
87529551,3.46924548482802,50.7825680890724,BE,ELIA,Polygon,Avelgem,BE,380000,Elia,,,AVELGEM,POINT (3.469245484828019 50.78256808907241),False,400,,,,
32002039,4.62927890998923,51.1958178936796,BE,ELIA,Polygon,Massenhoven,BE,380000,150000,Elia,,,MASSENHOVEN,POINT (4.629278909989232 51.19581789367956),False,400,,,
92015823,5.55005770629929,50.2100350202602,BE,ELIA,Polygon,Marcourt,BE,220000,Elia,,,MARCOURT,POINT (5.5500577062992935 50.21003502026021),False,220,,,,
387620061,5.94774781221324,49.5101117722658,BE,ELIA,Polygon,Belval,LU,220000,Elias,,"Manually corrected. In LU, but also in BE","BELVAL, SOTEL",POINT (5.94774781221324 49.510111772265766),False,220,,,,
432647374,3.20100269178859,51.2636154984003,BE,ELIA,Polygon,Gezelle,BE,380000,Elia,,,GEZELLE,POINT (3.201002691788593 51.26361549840031),False,400,,,,
33814632,5.75544165436662,49.6931994520832,BE,ELIA,Polygon,Poste 220/70/15 kV de Heinsch,BE,220000,70000,15000,Elia,,,HEINSCH,POINT (5.755441654366624 49.69319945208319),False,220,,
1062894258,5.6869839572114,49.999782637784,BE,ELIA,Polygon,Bastogne,BE,220000,Elia,,,BASTOGNE,POINT (5.686983957211397 49.999782637783966),False,220,,,,
249845893,5.5440375,50.9078352,BE,ELIA,Point,,BE,380000,,,Y-junction at 14.2 km from the station,AFTAKKING ZUTTENDAAL 380kV,POINT (5.5440375 50.9078352),False,400,,,,
423389300,4.2305022,51.0228458,BE,ELIA,Point,,BE,380000,,,Y-junction at 15.5 km from the station,AFTAKKING BUGGENHOUT 380kV,POINT (4.2305022 51.0228458),False,400,,,,
23208935,4.42036284894269,50.9432402657249,BE,ELIA,Polygon,Verbrande Brug,BE,380000,150000,Elias,,,VERBRANDE BRUG,POINT (4.42036284894269 50.94324026572486),False,400,,,
87807194,5.0633321252754,51.107260155255,BE,ELIA,Polygon,Meerhout,BE,380000,150000,Elia,,,MEERHOUT,POINT (5.0633321252754016 51.10726015525498),False,400,,,
1138687359,4.5265341,50.4946937,BE,ELIA,Point,,BE,380000,,,Y-junction at 7.5 km from the station,REPIQUAGE ST-AMAND 380kV,POINT (4.5265341 50.4946937),False,400,,,,
87772593,4.34753498839775,50.494528282278,BE,ELIA,Polygon,Courcelles,BE,380000,Elia,,,COURCELLES,POINT (4.34753498839775 50.49452828227795),False,400,,,,
23175771,4.23165273572667,50.8809634387019,BE,ELIA,Polygon,380kV Bruegel,BE,380000,,,,BRUEGEL,POINT (4.231652735726668 50.88096343870187),False,400,,,,
457635067,5.48622233134504,50.9393231687157,BE,ELIA,Polygon,André Dumont,BE,380000,150000,Elia,,,ANDRE DUMONT,POINT (5.4862223313450365 50.93932316871574),False,400,,,
121085955,5.50653760320298,49.5494275182549,BE,ELIA,Polygon,Rouvroy,BE,220000,Elia,,,ROUVROY,POINT (5.506537603202984 49.54942751825487),False,220,,,,
204940265,5.52164654216444,50.6147741912369,BE,ELIA,Polygon,Seraing,BE,220000,70000,Elia,,,SERAING,POINT (5.521646542164442 50.61477419123687),False,220,,,
23176013,4.30125032886384,50.8037002287813,BE,ELIA,Polygon,Elia Drogenbos,BE,380000,150000,,,,DROGENBOS,POINT (4.301250328863836 50.8037002287813),False,400,,,
92007188,5.66276565921186,49.9756367072645,BE,ELIA,Polygon,Villeroux,BE,220000,70000,,,,VILLEROUX,POINT (5.662765659211864 49.97563670726449),False,220,,,
162667041,4.2889248,51.2839075,BE,ELIA,Point,,BE,380000,,,Y-junction at 2.42 km from the station,AFTAKKING LIEFKENSHOEK 380kV,POINT (4.2889248 51.2839075),False,400,,,,
1094439002,5.5527081,50.5887205,BE,ELIA,Point,,BE,220000,,,Y-junction at 0.4 km from the station,REPIQUAGE SART-TILMAN 220kV,POINT (5.5527081 50.5887205),False,220,,,,
87779917,3.53735784893536,51.206653613485,BE,ELIA,Polygon,380/150kV Eeklo Noord,BE,380000,150000,Elia,,,EEKLO NOORD,POINT (3.5373578489353608 51.206653613484974),False,400,,,
25838372,14.5296758726391,50.0840957303923,CZ,CEPS,Polygon,Rozvodna Malešice,CZ,220000,110000,22000,ČEPS,PRE,,,Malesice,POINT (14.529675872639078 50.08409573039229),False,220,
28478418,14.0707619310136,49.5961470828257,CZ,CEPS,Polygon,Milín,CZ,220000,110000,ČEPS,,,Milin,POINT (14.070761931013587 49.59614708282568),False,220,,,
28475691,15.1124058270013,50.6577647696535,CZ,CEPS,Polygon,Bezděčín,CZ,400000,110000,22000,ČEPS,,,Bezdecin,POINT (15.11240582700131 50.65776476965347),False,400,,
28624926,18.5079335485039,49.7856508669776,CZ,CEPS,Polygon,Albrechtice,CZ,400000,110000,ČEPS,,,"Albrechtice, ALBRECHTICE",POINT (18.507933548503942 49.7856508669776),False,400,,,
197827799,13.8014303949964,50.583087711059,CZ,CEPS,Polygon,Chotějovice,CZ,400000,220000,110000,35000,10000,ČEPS,,,Chotejovice,POINT (13.801430394996355 50.583087711058994),False,400
28478409,14.5037473713373,50.017981198327,CZ,CEPS,Polygon,Chodov,CZ,400000,110000,22000,ČEPS,PRE,,,Chodov,POINT (14.503747371337296 50.01798119832701),False,400,
28099187,13.3273324005706,50.3465293893251,CZ,CEPS,Polygon,Hradec,CZ,400000,220000,ČEPS,,,"Hradec, TR Hradec T402, PST Hradec 1, PST Hradec 2, PST Hradec 3, PST Hradec 4",POINT (13.3273324005706 50.34652938932505),False,400,,,
28479110,14.4557853753034,50.635479746525,CZ,CEPS,Polygon,Babylon,CZ,400000,110000,ČEPS,,,Babylon,POINT (14.455785375303432 50.63547974652501),False,400,,,
28626812,17.5596268265582,49.2167590668507,CZ,CEPS,Polygon,rozvodna Otrokovice 400/110 kV,CZ,400000,ceps_cz,,,Otrokovice,POINT (17.55962682655818 49.21675906685067),False,400,,,,
28349754,13.6954525085772,50.3960226266592,CZ,CEPS,Polygon,Výškov,CZ,400000,220000,110000,ČEPS,,,Vyskov,POINT (13.695452508577215 50.39602262665922),False,400,,
27849030,16.6990808781487,49.1122568719247,CZ,CEPS,Polygon,Sokolnice,CZ,400000,220000,110000,22000,,,,"Sokolnice, TR Sokolnice T401",POINT (16.699080878148727 49.11225687192472),False,400,
28476742,13.4748857923102,49.7786425432974,CZ,CEPS,Polygon,Chrást,CZ,400000,110000,22000,,,,Chrast,POINT (13.47488579231017 49.77864254329741),False,400,,
28470958,16.6684113440908,49.858697099784,CZ,CEPS,Polygon,Krasíkov,CZ,400000,ČEPS,,,Krasikov,POINT (16.668411344090764 49.85869709978398),False,400,,,,
28469397,14.3529128208851,49.1580546025201,CZ,CEPS,Polygon,rozvodna Kočín,CZ,400000,110000,ČEPS,,,Kocin,POINT (14.352912820885056 49.158054602520096),False,400,,,
28622657,14.6900219534142,49.4116049700708,CZ,CEPS,Polygon,Tábor,CZ,220000,110000,22000,ČEPS,,,Tabor,POINT (14.690021953414233 49.4116049700708),False,220,,
28628927,17.6478284317006,49.9732034666011,CZ,CEPS,Polygon,Horní Životice,CZ,400000,110000,ČEPS,,,"H.Zivotice, H. Zivotice",POINT (17.647828431700574 49.97320346660107),False,400,,,
28468576,14.768623247696,50.1430218706092,CZ,CEPS,Polygon,Rozvodna Čechy střed,CZ,400000,220000,110000,ČEPS,,,"C. Stred, TR C. Stred T401",POINT (14.768623247695958 50.143021870609175),False,400,,
28477054,13.3352804258664,49.5896898415567,CZ,CEPS,Polygon,Přeštice,CZ,400000,220000,110000,ČEPS,,,Prestice,POINT (13.335280425866396 49.58968984155671),False,400,,
26143409,16.4580808761985,49.3303158427852,CZ,CEPS,Polygon,Čebín,CZ,400000,110000,25000,,,,Cebin,POINT (16.458080876198498 49.330315842785176),False,400,,
28382372,15.5990917746195,49.5806645340319,CZ,CEPS,Polygon,Mírovka,CZ,400000,110000,ČEPS,,,Mirovka,POINT (15.59909177461945 49.580664534031854),False,400,,,
28624004,18.3158527647555,49.7050424837614,CZ,CEPS,Polygon,Lískovec,CZ,220000,110000,ČEPS,,,"Liskovec, LISKOWIEC, Liskovec ",POINT (18.31585276475545 49.7050424837614),False,220,,,
28268556,15.8351835662859,50.335906803277,CZ,CEPS,Polygon,Neznášov,CZ,400000,110000,ČEPS,,,Neznasov,POINT (15.835183566285863 50.33590680327703),False,400,,,
28348269,15.6491986160424,50.031884291289,CZ,CEPS,Polygon,Opočínek,CZ,220000,110000,ČEPS,,,Opocinek,POINT (15.649198616042376 50.03188429128898),False,220,,,
28479829,14.4219971819068,49.0253116812348,CZ,CEPS,Polygon,rozvodna Dasný,CZ,400000,110000,ČEPS,,,Dasny,POINT (14.42199718190684 49.0253116812348),False,400,,,
28622793,15.3613244791842,50.0549170343825,CZ,CEPS,Polygon,Týnec,CZ,400000,110000,,,,Tynec,POINT (15.361324479184216 50.05491703438246),False,400,,,
28624204,18.4307151541345,49.6690092552141,CZ,CEPS,Polygon,Nošovice,CZ,400000,110000,ČEPS,,,"Nosovice, NOSOVICE",POINT (18.43071515413453 49.66900925521413),False,400,,,
28457258,14.3299357094325,50.0157664553168,CZ,CEPS,Polygon,Transformovna Řeporyje,CZ,400000,110000,22000,,,,Reporyje,POINT (14.329935709432464 50.01576645531679),False,400,,
28625556,17.4983451205465,49.5032635175529,CZ,CEPS,Polygon,Prosenice,CZ,400000,220000,110000,ČEPS,,,"Prosenice, TR Prosenice T401",POINT (17.498345120546542 49.50326351755285),False,400,,
174152948,17.9412199484408,49.6780887498907,CZ,CEPS,Polygon,Kletné,CZ,400000,110000,ČEPS,,,Kletne,POINT (17.941219948440782 49.67808874989066),False,400,,,
27867392,16.1188917405633,49.103753983297,CZ,CEPS,Polygon,Slavětice,CZ,400000,110000,ČEPS,,,Slavetice,POINT (16.118891740563257 49.10375398329698),False,400,,,
149306820,12.6752558712887,50.1607109930834,CZ,CEPS,Polygon,Vítkov,CZ,220000,110000,ČEPS,,Multiple matches,Vitkov,POINT (12.675255871288725 50.16071099308343),False,400,,,
941453716,13.1432246607126,53.9077975741962,DE,50HERTZ,Polygon,Umspannwerk Siedenbrünzow,DE,380000,50Hertz Transmission,,,Siedenbrünzow,POINT (13.143224660712592 53.9077975741962),False,400,,,,
